"label","id","genus","species","species_reference","lifestyle","habitat_reference","terrane","country","province","locality","site","siteN","type_locality","latitude","longitude","elevation","SIA","BDNF","NXC1","CYTB","ND4","tiplabsite","label_clean","oldgenus","gensp","reference","fontface","outgroup","gcol"
"BPBM31979_Hylophorbus_cf__rufescens_5","BPBM31979","Hylophorbus","cf. rufescens.5","","terrestrial","","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Suzuki Track Kamiali",32,"",-7.3088768,147.13333,240,"MZ634785","MZ635020","MZ635257","MZ635490","MZ647934","BPBM31979-Hylophorbus_cf._rufescens.5-Suzuki_Track_Kamiali-Bowutu_Mts.","BPBM31979 Hylophorbus cf. rufescens.5","Hylophorbus","Hylophorbus cf. rufescens.5",FALSE,"italic",FALSE,"#00FF59"
"BPBM26182_Cophixalus_tomaiodactylus","BPBM26182","Cophixalus","tomaiodactylus","Kraus & Allison 2009","terrestrial","Kraus & Allison 2009","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Pine Tree Camp Kamiali",29,"type locality",-7.28188171,147.065022341,900,"MZ634786","MZ635021","MZ635258","MZ635491","MZ647935","BPBM26182-Cophixalus_tomaiodactylus-Pine_Tree_Camp_Kamiali-Bowutu_Mts.","BPBM26182 Cophixalus tomaiodactylus","Cophixalus","Cophixalus tomaiodactylus",FALSE,"italic",FALSE,"#6FFF00"
"BPBM23740_Callulops_personatus","BPBM23740","Callulops","personatus","Zweifel 1972","fossorial","Zweifel 1972","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.295997634,147.0928789,515,"MZ634787","MZ635022","MZ635259","MZ635492","MZ647936","BPBM23740-Callulops_personatus-Cliffside_Camp_Kamiali-Bowutu_Mts.","BPBM23740 Callulops personatus","Callulops","Callulops personatus",FALSE,"italic",FALSE,"#F4FF00"
"BPBM25837_Choerophryne_sp_3","BPBM25837","Choerophryne","sp.3","","scansorial","","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Top Camp Kamiali",28,"",-7.277998011,147.033451568,1540,"MZ634788","MZ635023","MZ635260","MZ635493","MZ647937","BPBM25837-Choerophryne_sp.3-Top_Camp_Kamiali-Bowutu_Mts.","BPBM25837 Choerophryne sp.3","Choerophryne","Choerophryne sp.3",FALSE,"italic",FALSE,"#B1FF00"
"BPBM26194_Cophixalus_phaeobalius","BPBM26194","Cophixalus","phaeobalius","Kraus & Allison 2009","terrestrial","Kraus & Allison 2009","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Top Camp Kamiali",28,"type locality",-7.277998011,147.033451568,1540,"MZ634789","MZ635024","MZ635261","MZ635494","MZ647938","BPBM26194-Cophixalus_phaeobalius-Top_Camp_Kamiali-Bowutu_Mts.","BPBM26194 Cophixalus phaeobalius","Cophixalus","Cophixalus phaeobalius",FALSE,"italic",FALSE,"#6FFF00"
"BPBM25754_Choerophryne_sp_4","BPBM25754","Choerophryne","sp.4","","scansorial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.295997634,147.092878935,525,"MZ634790","MZ635025","MZ635262","MZ635495","MZ647939","BPBM25754-Choerophryne_sp.4-Cliffside_Camp_Kamiali-Bowutu_Mts.","BPBM25754 Choerophryne sp.4","Choerophryne","Choerophryne sp.4",FALSE,"italic",FALSE,"#B1FF00"
"BPBM31337_Cophixalus_linnaeus","BPBM31337","Cophixalus","linnaeus","Kraus & Allison 2009","scansorial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"type locality",-7.295997634,147.092878935,500,"MZ634791","MZ635026","MZ635263","MZ635496","MZ647940","BPBM31337-Cophixalus_linnaeus-Cliffside_Camp_Kamiali-Bowutu_Mts.","BPBM31337 Cophixalus linnaeus","Cophixalus","Cophixalus linnaeus",FALSE,"italic",FALSE,"#6FFF00"
"BPBM31847_Cophixalus_cf__pipilans_2","BPBM31847","Cophixalus","cf. pipilans.2","Zweifel 1980","scansorial","Zweifel 1980A","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.295997634,147.0928789,515,"MZ634792","MZ635027","MZ635264","MZ635497","MZ647941","BPBM31847-Cophixalus_cf._pipilans.2-Cliffside_Camp_Kamiali-Bowutu_Mts.","BPBM31847 Cophixalus cf. pipilans.2","Cophixalus","Cophixalus cf. pipilans.2",FALSE,"italic",FALSE,"#6FFF00"
"BPBM31853_Genyophryne_aff__thomsoni_3","BPBM31853","Genyophryne","aff. thomsoni.3","","fossorial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.295997634,147.0928789,515,"MZ634793","MZ635028","MZ635265","MZ635498","MZ647942","BPBM31853-Genyophryne_aff._thomsoni.3-Cliffside_Camp_Kamiali-Bowutu_Mts.","BPBM31853 Genyophryne aff. thomsoni.3","Genyophryne","Genyophryne aff. thomsoni.3",FALSE,"italic",FALSE,"#808000"
"BPBM31808_Choerophryne_sp_1","BPBM31808","Choerophryne","sp.1","","scansorial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.295997634,147.092878935,500,"MZ634794","MZ635029","MZ635266","MZ635499","MZ647943","BPBM31808-Choerophryne_sp.1-Cliffside_Camp_Kamiali-Bowutu_Mts.","BPBM31808 Choerophryne sp.1","Choerophryne","Choerophryne sp.1",FALSE,"italic",FALSE,"#B1FF00"
"BPBM35367_Choerophryne_sp_4","BPBM35367","Choerophryne","sp.4","","scansorial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.295997634,147.092878935,NA,"MZ634795","MZ635030","MZ635267","MZ635500","MZ647944","BPBM35367-Choerophryne_sp.4-Cliffside_Camp_Kamiali-Bowutu_Mts.","BPBM35367 Choerophryne sp.4","Choerophryne","Choerophryne sp.4",FALSE,"italic",FALSE,"#B1FF00"
"BJE1120_Oreophryne_senckenbergiana","BJE1120","Oreophryne","senckenbergiana","Peters & Doria 1878","arboreal","","notpng","Indonesia","North Maluku Province","Halmahera","Seki Village",NA,"",1.4935,127.49776,NA,"","","","","","","BJE1120 Oreophryne senckenbergiana","Oreophryne A","Oreophryne senckenbergiana",TRUE,"bold.italic",FALSE,"#0059FF"
"BJE1143_Oreophryne_senckenbergiana","BJE1143","Oreophryne","senckenbergiana","Peters & Doria 1879","arboreal","","notpng","Indonesia","North Maluku Province","Halmahera","Mamuya Village",NA,"",1.4934,127.53429,NA,"","","","","","","BJE1143 Oreophryne senckenbergiana","Oreophryne A","Oreophryne senckenbergiana",FALSE,"italic",FALSE,"#0059FF"
"BJE1144_Oreophryne_senckenbergiana","BJE1144","Oreophryne","senckenbergiana","Peters & Doria 1880","arboreal","","notpng","Indonesia","North Maluku Province","Halmahera","Mamuya Village",NA,"",1.4934,127.53429,NA,"","","","","","","BJE1144 Oreophryne senckenbergiana","Oreophryne A","Oreophryne senckenbergiana",FALSE,"italic",FALSE,"#0059FF"
"BJE1248_Oreophryne_frontifasciata","BJE1248","Oreophryne","frontifasciata","Horst 1885","arboreal","","notpng","Indonesia","North Maluku Province","Halmahera","Lolobata",NA,"",1.22,128.18,NA,"","","","","","","BJE1248 Oreophryne frontifasciata","Oreophryne A","Oreophryne frontifasciata",FALSE,"italic",FALSE,"#0059FF"
